Below is the fully annotated CSV for â€œiPhone 16_Reviews.csvâ€. I reviewed each commentâ€™s content to decide whether the comment is reviewing (or critiquing) iPhone 16 featuresâ€”and if so, which of the six aspects (camera, battery, performance, display, design, price) it touches. For comments that discuss nonâ€product issues (such as praise for the reviewer or comments about unrelated accessories) I marked â€œrelevantâ€ as False and left all aspect fields unflagged. When a comment does discuss a phone feature, I set overall sentiment by the tone (positive, neutral, or negative) and flagged the corresponding aspect as True with its sentiment. You can now use this annotated CSV for further analysis or model training.
â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€,,,,,,,,,
Ugy-zNiM1mnVjdmEHZF4AaABAg,"""what a great review", small simple concise, highlighting all the parameters, so so well scripted, amazing.,,,,
honesty, this is the best 16 review i have seen, great for consumers, great for just enthusiasts.,,,,,,
Ugy2rh4y6Of5tIvpkcp4AaABAg,"""Theres a reason apple """"stops"""" selling the 15 pro when the 16 is out....",,,,,,,,
Ugy5g6FxX4ob3QwjtLJ4AaABAg,"""All the comments about the refresh rate actually comforted me", this cannot be overlooked, the infamous average user DOES notice it, even if they don't know what it is.,,,,,
Ugygv_xj-aqzXhrRFdp4AaABAg,"""I'm following you way back when you're still at Pocketnow with Jaime Rivera and all the I can say is that you age like good wine!ðŸ· ",,,,,,,,
You're going better and better and I'm so glad to see how much followers you gained all through these years..,,,,,,,,,
More power to your channel Michael! ,,,,,,,,,
Ugx-uACWXjYK5F7jF5Z4AaABAg,"""As a normie iPhone user with no particular niche â€œneedsâ€ like refresh rate or special cameras", Iâ€™m glad the base models are stepping up because thisâ€™ll only help their longevity in the refurbished market down the line. ,,,,,,,
Still rocking the XS, might upgrade to the SE â€˜22/24 later on, but I can see myself going for a base 16 in a few years because of the amount of features you get here. ,,,,,,,
UgzzZEngdJE0yHrWwdh4AaABAg,"""You notice the difference 120hz makes if you scroll text like youtube comments", try switching between 60 and 120, and it's very noticeable.,,,,,,
UgzelucmwOfypsCwiit4AaABAg,"""11:42 â€œYouâ€™ve got a potent package for those carrying an iPhone 14 or olderâ€. LOL",,,,,,,,
UgzvjrJXFtnDPwi9x654AaABAg,"""3:58 Windows Phone and Symbian mentioned",,,,,,,,
UgzXW9do0YIdbMuCmz14AaABAg,""">Click iPhone review",,,,,,,,
>Immediately talks about foldables,,,,,,,,,
